DATETIME,TEMPERATURE
01-01-2018 00:00,9.66
01-01-2018 01:00,9.19
01-01-2018 02:00,9.04
01-01-2018 03:00,8.37
01-01-2018 04:00,8.14
01-01-2018 05:00,7.75
01-01-2018 06:00,7.34
01-01-2018 07:00,7.51
01-01-2018 08:00,7.6
01-01-2018 09:00,8.97
01-01-2018 10:00,11.14
01-01-2018 11:00,13.05
01-01-2018 12:00,14.41
01-01-2018 13:00,16.18
01-01-2018 14:00,17.29
01-01-2018 15:00,18.55
01-01-2018 16:00,18.77
01-01-2018 17:00,18.44
01-01-2018 18:00,18.31
01-01-2018 19:00,17.21
01-01-2018 20:00,17
01-01-2018 21:00,16.94
01-01-2018 22:00,16.54
01-01-2018 23:00,16.13
02-01-2018 00:00,15.34
02-01-2018 01:00,15.34
02-01-2018 02:00,15.47
02-01-2018 03:00,14.42
02-01-2018 04:00,14.2
02-01-2018 05:00,13.4
02-01-2018 06:00,12.95
02-01-2018 07:00,12.95
02-01-2018 08:00,13.35
02-01-2018 09:00,14.67
02-01-2018 10:00,17.33
02-01-2018 11:00,18.98
02-01-2018 12:00,21.76
02-01-2018 13:00,23.75
02-01-2018 14:00,25.45
02-01-2018 15:00,27.01
02-01-2018 16:00,25.9
02-01-2018 17:00,24.74
02-01-2018 18:00,24.33
02-01-2018 19:00,23.3
02-01-2018 20:00,22.16
02-01-2018 21:00,20.54
02-01-2018 22:00,19.96
02-01-2018 23:00,19.74
03-01-2018 00:00,19.56
03-01-2018 01:00,18.43
03-01-2018 02:00,17.89
03-01-2018 03:00,17.11
03-01-2018 04:00,16.92
03-01-2018 05:00,16.89
03-01-2018 06:00,16.5
03-01-2018 07:00,16
03-01-2018 08:00,16.52
03-01-2018 09:00,18.07
03-01-2018 10:00,20.31
03-01-2018 11:00,22.51
03-01-2018 12:00,25.15
03-01-2018 13:00,27.21
03-01-2018 14:00,29.59
03-01-2018 15:00,29.73
03-01-2018 16:00,29.73
03-01-2018 17:00,27.89
03-01-2018 18:00,26.85
03-01-2018 19:00,27.01
03-01-2018 20:00,27.54
03-01-2018 21:00,28.29
03-01-2018 22:00,27.99
03-01-2018 23:00,28.38
04-01-2018 00:00,28.4
04-01-2018 01:00,28.11
04-01-2018 02:00,28.74
04-01-2018 03:00,28.65
04-01-2018 04:00,27.94
04-01-2018 05:00,27.46
04-01-2018 06:00,25.52
04-01-2018 07:00,24.61
04-01-2018 08:00,23.81
04-01-2018 09:00,22.69
04-01-2018 10:00,22.76
04-01-2018 11:00,23.33
04-01-2018 12:00,23.03
04-01-2018 13:00,23.35
04-01-2018 14:00,22.95
04-01-2018 15:00,23.31
04-01-2018 16:00,23.73
04-01-2018 17:00,24.25
04-01-2018 18:00,24.61
04-01-2018 19:00,24.97
04-01-2018 20:00,23.68
04-01-2018 21:00,23.41
04-01-2018 22:00,22.11
04-01-2018 23:00,20.82
05-01-2018 00:00,20.32
05-01-2018 01:00,17.47
05-01-2018 02:00,15.95
05-01-2018 03:00,14.48
05-01-2018 04:00,13.4
05-01-2018 05:00,12.35
05-01-2018 06:00,11.71
05-01-2018 07:00,10.44
05-01-2018 08:00,9.97
05-01-2018 09:00,10.65
05-01-2018 10:00,12
05-01-2018 11:00,12.98
05-01-2018 12:00,14.39
05-01-2018 13:00,15.2
05-01-2018 14:00,15.49
05-01-2018 15:00,15.89
05-01-2018 16:00,16.05
05-01-2018 17:00,15.28
05-01-2018 18:00,14.95
05-01-2018 19:00,15.12
05-01-2018 20:00,13.83
05-01-2018 21:00,12.77
05-01-2018 22:00,11.83
05-01-2018 23:00,11.36
06-01-2018 00:00,10.85
06-01-2018 01:00,10.42
06-01-2018 02:00,10.01
06-01-2018 03:00,9.9
06-01-2018 04:00,9.9
06-01-2018 05:00,9.78
06-01-2018 06:00,8.75
06-01-2018 07:00,8.53
06-01-2018 08:00,8.31
06-01-2018 09:00,9.63
06-01-2018 10:00,10.13
06-01-2018 11:00,11.24
06-01-2018 12:00,12.21
06-01-2018 13:00,12.98
06-01-2018 14:00,13.23
06-01-2018 15:00,13.66
06-01-2018 16:00,13.07
06-01-2018 17:00,12.06
06-01-2018 18:00,11.41
06-01-2018 19:00,10.43
06-01-2018 20:00,9.45
06-01-2018 21:00,8.59
06-01-2018 22:00,8.43
06-01-2018 23:00,7.82
07-01-2018 00:00,7.71
07-01-2018 01:00,7.09
07-01-2018 02:00,6.98
07-01-2018 03:00,6.52
07-01-2018 04:00,6.49
07-01-2018 05:00,6.26
07-01-2018 06:00,5.54
07-01-2018 07:00,5.4
07-01-2018 08:00,5.83
07-01-2018 09:00,7.69
07-01-2018 10:00,9.87
07-01-2018 11:00,11.18
07-01-2018 12:00,13.74
07-01-2018 13:00,15.68
07-01-2018 14:00,16.93
07-01-2018 15:00,17.91
07-01-2018 16:00,18.59
07-01-2018 17:00,18.36
07-01-2018 18:00,18.25
07-01-2018 19:00,18.04
07-01-2018 20:00,17.78
07-01-2018 21:00,18.43
07-01-2018 22:00,18
07-01-2018 23:00,17.57
